REG_ANS;CNPJ;Razao_Social
382540;3,1241E+13;ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI
417947;1,09355E+13;ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO
417955;7,94502E+12;ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ
416690;7,78135E+12;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS
416568;8,20204E+12;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA
314218;6,09752E+13;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO
422321;3,56573E+13;ASSOCIAÇÃO DE SAÚDE DO VALE
418731;1,50224E+13;ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO
417530;1,19394E+13;ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA
393533;1,2317E+13;ASSOCIAÇÃO DO FISCO DE ALAGOAS
420000;1,57131E+13;ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL
387185;3,40113E+13;ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO
330281;9,30624E+12;ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP
384704;1,31704E+13;ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC
382639;9,29111E+13;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC
306754;2,99149E+11;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS
388092;4,50325E+12;ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM
335754;1,4799E+13;ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA
309028;2,9168E+13;ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO
419591;2,01608E+13;ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ
342556;8,75474E+13;ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI
326755;7,86138E+13;ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA
422053;3,39222E+13;ASSOCIAÇÃO FCA SAÚDE
416584;8,88327E+12;ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE
402206;2,22014E+12;ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO
421618;3,07246E+13;ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL
423807;9,26858E+13;ASSOCIAÇÃO HOSPITALAR MOINHOS DE VENTO
419150;1,53233E+13;ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA
417211;1,11778E+13;ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO
420158;2,38693E+13;ASSOCIAÇÃO PADRE ALBINO SAÚDE
420816;2,51412E+13;ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE
418617;1,20495E+13;ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ
422631;3,94276E+13;ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS
419958;2,09618E+13;ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS
408093;6,64933E+13;ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU
408263;7,17533E+13;ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA
409413;4,44803E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE
410110;34259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA
406813;5,97661E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE
406937;5,72725E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE
410128;7,15593E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE
409405;6,42842E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA
423203;8,41848E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS
414212;5,97621E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS)
407569;7,29164E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS
406945;1,47571E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU
408026;6,6569E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA
408034;6,6491E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ
411248;6,48506E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU
408794;7,29183E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS)
420786;2,48075E+13;ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI
418803;1,66656E+13;ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA
419249;1,83215E+13;ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS
418021;1,30012E+13;ASSOCIAÇÃO SANTA SAÚDE
330892;2,90348E+12;ASSOCIAÇÃO SAÚDE CONCEIÇÃO
418218;1,13367E+13;ASSOCIAÇÃO SAÚDE RURAL ALEGRETE
418919;1,18674E+13;ASSOCIAÇÃO SAÚDE SÃO JOSÉ
417220;1,07961E+13;ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA
419141;1,49461E+13;ASSOCIAÇÃO SÃO FRANCISCO VIDA
421006;2,70675E+13;ASSOCIAÇÃO SÃO LUIZ SAÚDE
420123;2,35572E+13;ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO
412635;3,07714E+11;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL
420794;2,37795E+13;ASSOREL BRASIL ADMINISTRADORA DE BENEFICIOS LTDA - EPP
336874;1,52451E+13;ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS
424528;5,96416E+13;ATIMED ASSISTENCIA MEDICA LTDA
422151;3,47321E+13;ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA
424714;6,23835E+13;ATIVUS LIFE ADMINISTRADORA DE BENEFICIOS LTDA
